sim,incl,mag,depth,isochrones,ebop,simmed,total,sim_ratio,injected,recovered,recovery,detection,adj_detection
PLA,4159290,0,370919,353242,1038,115511,4645720,0.024863960806936276,115511,44911,0.3888027980019219,0.009667177531146948,0.009667177531146948
PIB,7224955,180006,406375,3452046,40,36578,7847914,0.004660856375337447,36578,16990,0.4644868500191372,0.002164906496172104,0.002164906496172104
BTP,793116,17987,53602,133748,1142,405,865110,0.000468148559142768,405,107,0.2641975308641975,0.00012368369340315103,0.00012368369340315103
EB,688678,0,1219,136607,1914,134080,823977,0.16272298862710974,134079,128222,0.9563167983054767,0.15561472749457608,0.189192
BEB,1246271,50810,39801,271765,7059,116538,1453420,0.08018191575731723,116538,81532,0.6996172922136985,0.056096654786641165,0.067546
TRIPLE,1111900,44517,5326,646647,551,115766,1277509,0.0906185396736931,115765,103293,0.8922645013605148,0.0808557061159658,0.098975
uPLA,1473783,0,136397,141151,4573,244096,1854276,0.13163951860456588,135000,104561,0.774525925925926,0.10195822003564455,0.10195822003564455
uPIB,2057598,98860,162035,1068907,108,112492,2430985,0.04627424685878358,112491,70853,0.6298548328310709,0.029146058019622837,0.029146058019622837
uBTP,7230276,351424,1001117,1339204,35843,42136,8624953,0.004885359955004972,42136,16524,0.3921587241313841,0.0019158365268773059,0.0019158365268773059
NPLA,0,0,1132471,0,0,68049,1200520,0.05668293739379602,68049,26241,0.3856191861746682,0.02185802818778529,0.0005434771561780017
NuPLA,0,0,1062883,0,0,137637,1200520,0.11464781927831273,135000,64383,0.4769111111111111,0.05467681887848599,0.007197630115992935
NEB,0,0,284320,0,0,916200,1200520,0.763169293306234,135000,103393,0.765874074074074,0.5844915758726774,0.11619968914435902
NTRIPLE,0,0,642446,0,0,558074,1200520,0.46486022723486486,135000,75074,0.5561037037037037,0.25851049406985366,0.0287043318447822
